step,pollutant_decay_rate,pollutant_diffusion,Mean AQI,Stdv AQI,Sum AQI,Mean max on interval
16.0,0.00999999977648258,0.05,0.01705401329884666,0.01706058069933129,88.68086915400264,0.2302221496148516
16.0,0.00999999977648258,0.05,0.01793495982459415,0.01863731322317948,93.26179108788956,0.2260748655626155
16.0,0.00999999977648258,0.05,0.01716073849688415,0.01758485722255799,89.23584018379759,0.22435215038776501
16.0,0.00999999977648258,0.05,0.01698723306371845,0.01791616545298162,88.33361193133592,0.22340620372567677
16.0,0.00999999977648258,0.05,0.01680519588588072,0.01700760730085878,87.38701860657973,0.22351941005043902
16.0,0.00999999977648258,0.05,0.01586312977596845,0.01725002647370676,82.48827483503592,0.22524368460489094
16.0,0.00999999977648258,0.05,0.0170262470524247,0.01867438185244853,88.53648467260845,0.22785493133443874
16.0,0.00999999977648258,0.05,0.0167559874019304,0.01829721145310106,87.13113449003805,0.22842115187801737
16.0,0.00999999977648258,0.05,0.01619391892411444,0.01697791530164038,84.20837840539507,0.22810520245463292
16.0,0.00999999977648258,0.05,0.01553314281906924,0.01669746570105795,80.77234265916007,0.22752373147460245
16.0,0.00999999977648258,0.05,0.01531289223871369,0.01637748454931123,79.6270396413112,0.22613514978880764
16.0,0.00999999977648258,0.05,0.01690257970461776,0.01853411733644084,87.89341446401238,0.22473762524918958
16.0,0.00999999977648258,0.05,0.01588381289920175,0.0180926737534008,82.59582707584909,0.22369807551478438
16.0,0.00999999977648258,0.05,0.01680171399221968,0.01832381631052966,87.36891275954233,0.220257367184541
16.0,0.00999999977648258,0.05,0.01678609468730544,0.01691414734025963,87.28769237398826,0.21858053884871276
16.0,0.00999999977648258,0.05,0.01703911349155369,0.01782746793503107,88.60339015607917,0.2150251070077592
16.0,0.00999999977648258,0.05,0.01716840914829734,0.01794330520038437,89.27572757114616,0.21245705935168818
16.0,0.00999999977648258,0.05,0.01754418194207859,0.01813338649411175,91.22974609880868,0.20737055420853795
16.0,0.00999999977648258,0.05,0.01532312453938672,0.0170765011306152,79.68024760481094,0.20516204909338862
16.0,0.00999999977648258,0.05,0.01664120807396396,0.01826849035344255,86.53428198461258,0.2071330437712702
16.0,0.00999999977648258,0.05,0.01564381128570187,0.01807239382421285,81.34781868564974,0.20879749878657705
16.0,0.00999999977648258,0.05,0.01602918042162876,0.01769448401410226,83.35173819246957,0.21044693192868932
16.0,0.00999999977648258,0.05,0.01546537595152979,0.0158032373099983,80.41995494795489,0.2132654357581282
16.0,0.00999999977648258,0.05,0.01566511587922816,0.01741610089806038,81.4586025719864,0.21624968720113746
16.0,0.00999999977648258,0.05,0.01425740618154515,0.01567960909062176,74.13851214403476,0.2144978505522257
16.0,0.00999999977648258,0.05,0.01589218844240855,0.01836025372650665,82.63937990052446,0.21293659961476225
16.0,0.00999999977648258,0.05,0.01488011366471477,0.01695604795785021,77.37659105651683,0.21116556970439462
16.0,0.00999999977648258,0.05,0.01587026146989008,0.0175713660564371,82.5253596434284,0.20845830274642796
16.0,0.00999999977648258,0.05,0.01574526098511108,0.01744280372771059,81.87535712257761,0.20603489374869963
16.0,0.00999999977648258,0.05,0.01477358714302594,0.01738771412908403,76.8226531437349,0.20425417179348027
16.0,0.00999999977648258,0.05,0.01593942626900217,0.01823683818289678,82.88501659881129,0.20386127772613913
16.0,0.00999999977648258,0.05,0.01565388237062977,0.01699046549500821,81.40018832727482,0.20263029540100796
16.0,0.00999999977648258,0.05,0.01478008913131728,0.01652933333639563,76.85646348284988,0.20440183712599486
16.0,0.00999999977648258,0.05,0.01445582186436254,0.01722285462094668,75.17027369468519,0.20495105920368237
16.0,0.00999999977648258,0.05,0.01498336810271399,0.01627370365365633,77.91351413411275,0.2048447456651029
16.0,0.00999999977648258,0.05,0.0160951669613687,0.01629075174301523,83.69486819911724,0.2033854882697246
16.0,0.00999999977648258,0.05,0.01598037128256976,0.01717500152383831,83.09793066936275,0.20276688649518204
16.0,0.00999999977648258,0.05,0.01478157097632183,0.01604583093876369,76.86416907687351,0.20618125101791776
16.0,0.00999999977648258,0.05,0.01542152470060793,0.01787761098303622,80.19192844316125,0.20613442985473598
